#p0	p50	p200	p1000
0.0330163	0.114153	0.35614	0
0.055279	0.255071	0.255624	0
-0.0729087	-0.0559535	-0.220174	0
0.572889	0.495236	0.342208	0
0.23237	0.0667446	0.228886	0
0.52009	0.309786	0.339312	0
0.0538139	0.249106	0.283409	0
-0.153635	-0.127742	-0.186101	0
-0.940318	-0.825263	-0.820566	0
0.938336	0.912275	0.814494	0
0.0553289	0.0331653	0.00966318	0
-0.859692	-0.749429	-0.804083	0
0.237769	0.252419	0.259272	0
0.722206	0.730971	0.869475	0
-0.296101	-0.435851	-0.270241	0
-0.700228	-0.747918	-0.794879	0
0.355583	0.487972	0.271882	0
0.0809636	0.222626	0.272296	0
-0.0343062	-0.193442	-0.261986	0
0.523191	0.507716	0.475152	0
0.669729	0.675282	0.862432	0
1.05279	0.970334	0.974366	0
-0.633666	-0.65636	-0.628864	0
0.595608	0.587322	0.624784	0
-0.263594	-0.321253	-0.333531	0
-0.301785	-0.443457	-0.466713	0
0.256654	0.108294	0.100329	0
0.616046	0.687271	0.669165	0
0.36875	0.278374	0.302468	0
-0.520153	-0.309874	-0.336524	0
0.292996	0.307477	0.317583	0
0.339289	0.268995	0.292035	0
-0.734937	-0.680597	-0.756923	0
-0.0653744	-0.0716501	-0.100741	0
0.348672	0.368606	0.270216	0
0.35323	0.25972	0.312701	0
0.551681	0.329798	0.272073	0
0.370737	0.567955	0.590524	0
-1.523	-1.42962	-1.47776	0
0.613489	0.405274	0.392775	0
0.0662196	0.0510581	0.288311	0
0.647654	0.794696	0.769167	0
-0.0634412	-0.0633872	-0.0355489	0
0.438509	0.341733	0.263467	0
0.66522	0.663636	0.616327	0
0.673238	0.876571	0.841869	0
-0.117943	-0.128398	-0.334653	0
0.337501	0.332468	0.287461	0
0.470171	0.612769	0.339013	0
-0.46818	-0.313231	-0.359626	0
0.0449566	0.0255146	0.306543	0
0.44734	0.507469	0.331032	0
0.457419	0.408201	0.188235	0
-0.435656	-0.229937	-0.242899	0
-0.471722	-0.494881	-0.257412	0
-0.453481	-0.220991	-0.234973	0
-0.0377801	-0.264558	-0.286235	0
-0.551139	-0.611866	-0.348877	0
-0.202351	-0.21021	-0.26996	0
0.0575552	0.126805	0.218112	0
0.859201	0.806309	0.871058	0
0.448286	0.272561	0.283302	0
-0.548779	-0.277797	-0.262812	0
-0.530854	-0.56296	-0.332199	0
-0.138133	-0.319881	-0.31636	0
-0.0960852	-0.27528	-0.377525	0
-1.03357	-0.809292	-0.927862	0
-0.388307	-0.310135	-0.31147	0
-0.852988	-0.871812	-0.670468	0
0.0880275	0.194112	0.234141	0
-0.642821	-0.582836	-0.300697	0
-1.07468	-0.935717	-0.893276	0
0.297977	0.253495	0.274258	0
-0.432059	-0.253914	-0.242363	0
0.377975	0.270186	0.306091	0
0.273596	0.519343	0.510039	0
-0.401163	-0.208351	-0.176235	0
0.422309	0.578831	0.361311	0
-0.40211	-0.235139	-0.288024	0
-0.375814	-0.257118	-0.275018	0
-1.14356	-0.956976	-0.86951	0
-0.349766	-0.296814	-0.250975	0
0.481794	0.343043	0.367335	0
0.409576	0.271914	0.221124	0
0.0138256	-0.233504	-0.242506	0
0.207692	0.365595	0.22469	0
-0.140406	-0.350817	-0.254137	0
0.156099	0.319227	0.237591	0
-0.491409	-0.486721	-0.223702	0
-0.0687967	-0.316794	-0.257361	0
-0.0969204	-0.0730724	-0.268855	0
-0.341182	-0.539767	-0.345338	0
0.772262	0.965722	0.845587	0
0.302694	0.190298	0.32659	0
-0.463284	-0.422114	-0.280055	0
1.16041	0.992458	0.981163	0
0.23026	0.301068	0.3555	0
-0.166197	-0.206206	-0.206037	0
0.298437	0.378341	0.342709	0
-0.431904	-0.462687	-0.309064	0
